seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
1,1.0,straight,Nonlinear Stabilization,17.38513189576767,33.5,3,8.975058645195775,0.11173254533119417,54.15282392026578
1,1.0,straight,Proposed AI,26.877077590928547,23.0,6,5.424647142652212,0.15530323865834356,20.59800664451827
1,1.0,circle,Pure Pursuit,18.284692264459032,11.5,11,3.280520086642924,0.1652609353002019,38.87043189368771
1,1.0,circle,Line of Sight,16.456430254340628,8.5,11,0.7534714432515788,0.1548377517539346,44.518272425249165
1,1.0,circle,Vector Field,22.503484436179242,19.0,8,0.6477967380288412,0.15340980129575857,36.21262458471761
1,1.0,circle,Nonlinear Stabilization,20.44711010118124,14.5,6,10.598937672283867,0.15035426720182635,37.87375415282392
1,1.0,circle,Proposed AI,24.608310902340204,19.0,6,20.744025664263233,0.12972304743077484,32.22591362126246
1,1.0,polyline,Pure Pursuit,20.73800198936488,11.0,10,0.6707408649626228,0.15908773726117922,35.548172757475086
1,1.0,polyline,Line of Sight,13.048418854176767,13.5,8,1.2381413187789967,0.15630752255812405,48.17275747508305
1,1.0,polyline,Vector Field,17.98803609525721,20.0,4,8.763367455444406,0.13003248032844117,49.83388704318937
1,1.0,polyline,Nonlinear Stabilization,21.835671095141155,20.0,10,6.202796429150342,0.15821209679648396,39.53488372093023
1,1.0,polyline,Proposed AI,22.07626433239928,16.0,5,21.167521006012453,0.11966235427666902,43.521594684385384
1,1.5,straight,Pure Pursuit,25.391386987696368,14.0,9,4.1102797537514135,0.14901513022618543,33.5548172757475
1,1.5,straight,Line of Sight,19.723663650520447,13.0,17,3.025070148208437,0.1507485135109301,42.19269102990033
1,1.5,straight,Vector Field,31.641333556113985,44.5,6,7.6360514758867035,0.15041760734650822,21.59468438538206
1,1.5,straight,Nonlinear Stabilization,28.24914007122436,34.5,10,6.092465495128397,0.1508420930756728,28.57142857142857
1,1.5,straight,Proposed AI,25.878304194298888,42.0,5,2.4579096887233867,0.1376696496294004,31.22923588039867
1,1.5,circle,Pure Pursuit,16.27061685903646,12.0,14,1.340336146136174,0.1668834437880371,42.19269102990033
1,1.5,circle,Line of Sight,15.542418593287508,8.0,12,0.20176708086938788,0.15549212556143718,48.50498338870432
1,1.5,circle,Vector Field,20.847185540244414,18.0,9,8.51845095942978,0.1513847808092155,39.8671096345515
1,1.5,circle,Nonlinear Stabilization,21.171592919491562,17.5,10,8.8517497928483,0.14555669615597988,37.87375415282392
1,1.5,circle,Proposed AI,24.13045275354025,19.0,7,10.374136459856826,0.13926224802630682,32.22591362126246
1,1.5,polyline,Pure Pursuit,20.333942685042278,14.0,8,4.686656966018354,0.15775149378254,37.2093023255814
1,1.5,polyline,Line of Sight,12.310640643181731,13.5,12,3.088673309369927,0.15764697932530095,50.83056478405316
1,1.5,polyline,Vector Field,18.713758237397222,20.5,5,11.948311985181443,0.14609754270460856,45.84717607973422
1,1.5,polyline,Nonlinear Stabilization,21.826358495972705,20.5,6,8.383630848817596,0.14767004882774465,41.86046511627907
1,1.5,polyline,Proposed AI,21.065956117741347,15.0,9,5.950955089733061,0.13700788242111903,45.182724252491695
1,2.0,straight,Pure Pursuit,24.480182424419368,14.0,12,3.947988004619514,0.15061277536299283,37.87375415282392
1,2.0,straight,Line of Sight,16.77299755025281,13.5,11,2.839401492672865,0.15497496159760846,45.84717607973422
1,2.0,straight,Vector Field,20.222509778968373,33.0,5,6.714941499350593,0.13884738095731655,49.83388704318937
1,2.0,straight,Nonlinear Stabilization,25.80266208376194,30.5,9,5.111943725882837,0.15678367144068542,31.561461794019934
1,2.0,straight,Proposed AI,33.00389560773088,37.5,11,10.549815564977017,0.15228097391310236,22.259136212624583
1,2.0,circle,Pure Pursuit,16.04707375659609,7.5,13,2.311188262321103,0.16289544091260047,47.176079734219265
1,2.0,circle,Line of Sight,13.334490781037992,9.5,14,1.4046645368014232,0.16548002712640886,51.82724252491694
1,2.0,circle,Vector Field,20.778770217274513,17.5,9,7.866753549542424,0.15370101869604616,39.8671096345515
